Surface,TypeSol,Localisation,Prix
9151,Calcaire,Mahdia,135696
38907,Argileux,Monastir,161058
24675,Calcaire,Gabes,108946
44237,Argileux,Sousse,183443
28539,Argileux,Gabes,100431
39825,Calcaire,Sousse,155470
22226,Alluvieux,Nabeul,89143
20113,Alluvieux,Kairouan,121514
45120,Calcaire,Nabeul,77096
45141,Argileux,Sfax,124363
45222,Calcaire,Beja,66081
33589,Argileux,Beja,93690
36886,Calcaire,Sousse,198857
12455,Argileux,Nabeul,94566
11861,Calcaire,Sfax,31565
18322,Calcaire,Tunis,184509
33752,Calcaire,Mahdia,64888
8845,Argileux,Bizerte,86665
32055,Alluvieux,Bizerte,180865
10631,Alluvieux,Bizerte,71554
18837,Calcaire,Nabeul,35095
43610,Calcaire,Bizerte,176452
5781,Calcaire,Gabes,120680
17071,Argileux,Gabes,166838
32387,Alluvieux,Tunis,109147
15506,Calcaire,Gabes,60552
38361,Argileux,Kairouan,158632
19488,Argileux,Bizerte,174682
18140,Calcaire,Mahdia,162626
49861,Argileux,Mahdia,148282
8725,Alluvieux,Mahdia,171025
48896,Calcaire,Nabeul,43097
10434,Argileux,Sousse,99402
26360,Argileux,Monastir,186729
21860,Argileux,Beja,80622
35818,Calcaire,Gabes,61682
48399,Alluvieux,Monastir,78830
23985,Alluvieux,Sfax,157892
15430,Argileux,Beja,53894
14369,Calcaire,Gabes,23213
36073,Calcaire,Gabes,113470
15996,Alluvieux,Beja,79724
35878,Argileux,Sousse,189243
30407,Argileux,Beja,144123
14966,Calcaire,Kairouan,172595
32696,Calcaire,Sfax,55155
27565,Calcaire,Beja,173543
7756,Calcaire,Sousse,174395
45028,Argileux,Sfax,75556
22822,Calcaire,Mahdia,69935
19331,Calcaire,Nabeul,56313
36936,Calcaire,Mahdia,67664
31514,Alluvieux,Nabeul,32783
7912,Calcaire,Sfax,104491
7800,Alluvieux,Tunis,71909
47003,Calcaire,Bizerte,61515
27017,Argileux,Kairouan,83742
10263,Alluvieux,Bizerte,74111
14937,Argileux,Sousse,38104
22264,Calcaire,Sousse,121174
37458,Alluvieux,Mahdia,153740
39672,Calcaire,Beja,132082
30611,Argileux,Tunis,41866
27391,Alluvieux,Kairouan,156593
46093,Calcaire,Sousse,172710
47266,Calcaire,Sfax,141996
44044,Calcaire,Nabeul,140191
16997,Argileux,Gabes,153693
29434,Calcaire,Bizerte,148148
5142,Calcaire,Beja,71837
37950,Calcaire,Sousse,134553
44886,Calcaire,Mahdia,193174
32786,Argileux,Mahdia,80866
6260,Calcaire,Kairouan,118797
35646,Calcaire,Beja,59675
23368,Alluvieux,Beja,69674
42778,Argileux,Bizerte,131533
9622,Alluvieux,Nabeul,162025
45776,Calcaire,Gabes,36401
42316,Calcaire,Kairouan,185947
37930,Argileux,Kairouan,74167
7389,Alluvieux,Sousse,116361
14958,Calcaire,Sfax,72334
42770,Calcaire,Tunis,171286
31059,Alluvieux,Sousse,41691
26756,Calcaire,Nabeul,162516
34662,Argileux,Kairouan,182745
27265,Alluvieux,Tunis,143573
21253,Calcaire,Beja,159656
28806,Alluvieux,Sfax,184001
10301,Argileux,Gabes,30357
34328,Calcaire,Tunis,123184
20882,Calcaire,Bizerte,96206
43490,Calcaire,Bizerte,193991
48806,Argileux,Tunis,172466
34775,Calcaire,Mahdia,183878
46158,Alluvieux,Monastir,156472
6168,Argileux,Kairouan,196150
16184,Calcaire,Kairouan,170245
12827,Argileux,Gabes,56109
44663,Calcaire,Gabes,53608
21487,Alluvieux,Kairouan,128145
25123,Calcaire,Sousse,37067
39511,Argileux,Tunis,142666
39869,Calcaire,Sousse,59359
34699,Alluvieux,Kairouan,85592
40780,Calcaire,Mahdia,145262
24497,Calcaire,Kairouan,76116
26642,Alluvieux,Mahdia,84920
39140,Argileux,Beja,73108
26781,Argileux,Gabes,191716
46080,Alluvieux,Bizerte,41845
5006,Calcaire,Tunis,154808
22962,Alluvieux,Kairouan,23569
47323,Calcaire,Mahdia,143454
23674,Calcaire,Nabeul,195768
18209,Calcaire,Sfax,140689
14241,Calcaire,Mahdia,144914
33326,Alluvieux,Sousse,129760
41030,Calcaire,Tunis,85473
24116,Argileux,Mahdia,103444
30986,Calcaire,Tunis,76984
24458,Calcaire,Nabeul,92147
30908,Argileux,Sousse,128526
8705,Calcaire,Gabes,61033
26229,Calcaire,Bizerte,131585
49857,Argileux,Nabeul,97189
5264,Calcaire,Tunis,54263
20086,Calcaire,Kairouan,118784
47845,Argileux,Kairouan,145780
24421,Alluvieux,Tunis,61178
33848,Argileux,Bizerte,116516
11377,Alluvieux,Monastir,114099
14918,Calcaire,Beja,114042
24813,Calcaire,Sousse,136620
20483,Calcaire,Sousse,155207
38258,Calcaire,Bizerte,96133
35960,Argileux,Gabes,158372
14291,Argileux,Sfax,116485
39681,Calcaire,Gabes,75989
22881,Argileux,Nabeul,28066
20105,Calcaire,Mahdia,97530
41047,Calcaire,Tunis,62243
36561,Calcaire,Sfax,39183
20223,Alluvieux,Nabeul,141009
32353,Calcaire,Gabes,127853
42125,Argileux,Mahdia,43800
16881,Argileux,Gabes,173967
32726,Calcaire,Gabes,174027
18217,Calcaire,Mahdia,166087
44006,Calcaire,Tunis,67160
11314,Argileux,Sousse,191725
35112,Calcaire,Monastir,119420
27587,Calcaire,Bizerte,109217
49313,Argileux,Sousse,152158
48768,Calcaire,Nabeul,86312
20845,Calcaire,Kairouan,57479
30999,Calcaire,Tunis,76778
12067,Calcaire,Gabes,89177
40126,Calcaire,Mahdia,95384
25341,Calcaire,Mahdia,106144
40031,Calcaire,Gabes,85505
40604,Calcaire,Tunis,132795
23890,Calcaire,Beja,59532
16234,Calcaire,Tunis,127790
39215,Argileux,Sfax,129878
16734,Calcaire,Beja,173726
6585,Argileux,Sousse,187117
47698,Argileux,Sousse,136655
39875,Calcaire,Gabes,87375
25375,Calcaire,Tunis,161360
30991,Alluvieux,Nabeul,180471
29091,Calcaire,Gabes,52173
9938,Calcaire,Nabeul,152893
17497,Calcaire,Sfax,62951
38483,Argileux,Bizerte,23735
36412,Argileux,Bizerte,28882
48367,Argileux,Gabes,107138
7426,Alluvieux,Sousse,146386
26312,Argileux,Sousse,97500
47261,Alluvieux,Tunis,119436
19667,Alluvieux,Nabeul,46798
45431,Alluvieux,Mahdia,78227
28563,Calcaire,Monastir,80502
27403,Calcaire,Sfax,123796
31640,Calcaire,Gabes,130110
5688,Alluvieux,Sfax,194590
45598,Argileux,Sfax,155734
27168,Alluvieux,Beja,117997
13992,Alluvieux,Sfax,199850
21222,Calcaire,Monastir,173348
6890,Alluvieux,Nabeul,191334
29605,Alluvieux,Gabes,136095
49639,Alluvieux,Nabeul,113467
48066,Argileux,Nabeul,40213
40070,Calcaire,Tunis,81957
18978,Calcaire,Tunis,44207
37731,Calcaire,Beja,100838
47059,Argileux,Monastir,171837
44077,Calcaire,Beja,142516
12991,Calcaire,Sousse,185750
41941,Calcaire,Sousse,28599
43498,Argileux,Sfax,79530
6523,Calcaire,Kairouan,33530
18648,Alluvieux,Mahdia,148119
17406,Calcaire,Sfax,177141
30214,Calcaire,Tunis,153106
17778,Alluvieux,Bizerte,144101
21267,Alluvieux,Nabeul,66757
46798,Argileux,Gabes,75353
23733,Calcaire,Kairouan,54894
22174,Calcaire,Gabes,196631
14732,Argileux,Gabes,49145
25023,Calcaire,Sousse,143543
7300,Calcaire,Kairouan,75696
16953,Alluvieux,Sousse,123053
16904,Argileux,Sfax,161247
10471,Calcaire,Nabeul,116207
21618,Calcaire,Beja,131534
26333,Calcaire,Nabeul,36220
13716,Alluvieux,Kairouan,98998
44392,Argileux,Beja,188608
18217,Argileux,Sousse,153231
30518,Argileux,Tunis,21196
46236,Calcaire,Nabeul,132208
19083,Calcaire,Mahdia,165535
42646,Alluvieux,Mahdia,103644
29598,Argileux,Beja,107158
37542,Argileux,Gabes,151136
20063,Alluvieux,Bizerte,102461
16438,Alluvieux,Mahdia,151482
41385,Calcaire,Tunis,52167
36322,Calcaire,Kairouan,68181
8717,Argileux,Gabes,84466
27083,Argileux,Sousse,143534
15286,Argileux,Kairouan,190472
39755,Calcaire,Sfax,96758
21726,Argileux,Bizerte,49865
31658,Calcaire,Nabeul,27652
47382,Calcaire,Sousse,133495
30985,Calcaire,Mahdia,103730
30813,Argileux,Bizerte,112571
35015,Calcaire,Sfax,185221
23309,Alluvieux,Monastir,170553
8210,Argileux,Mahdia,130010
6284,Calcaire,Tunis,175210
48075,Argileux,Bizerte,172905
46472,Calcaire,Nabeul,146929
48534,Alluvieux,Gabes,157864
31345,Argileux,Monastir,27425
26980,Alluvieux,Nabeul,132815
45248,Alluvieux,Beja,52358
5371,Calcaire,Sfax,94338
48212,Alluvieux,Tunis,102672
12954,Calcaire,Tunis,151868
17087,Alluvieux,Sfax,183717
11271,Alluvieux,Beja,26779
5715,Calcaire,Sousse,193409
41104,Calcaire,Nabeul,195639
16454,Alluvieux,Monastir,140759
10081,Calcaire,Bizerte,192127
27838,Argileux,Tunis,150237
40604,Argileux,Sousse,103790
9871,Argileux,Nabeul,171494
30915,Calcaire,Beja,75435
24652,Calcaire,Nabeul,66740
18252,Alluvieux,Bizerte,71074
18391,Calcaire,Sfax,74890
23004,Argileux,Kairouan,192125
29280,Alluvieux,Bizerte,152499
26257,Calcaire,Tunis,59273
42261,Calcaire,Nabeul,142238
40769,Alluvieux,Bizerte,52642
14639,Calcaire,Bizerte,25362
14648,Calcaire,Kairouan,93857
10078,Argileux,Sfax,65242
10107,Alluvieux,Sousse,193370
45954,Calcaire,Tunis,151729
11123,Calcaire,Gabes,82157
20921,Argileux,Monastir,149875
11555,Alluvieux,Nabeul,69390
37806,Argileux,Tunis,146996
46521,Calcaire,Mahdia,109781
40753,Calcaire,Bizerte,71841
10770,Calcaire,Mahdia,178782
26665,Calcaire,Tunis,67813
17843,Calcaire,Mahdia,66773
42836,Argileux,Tunis,185263
29227,Alluvieux,Sfax,172969
25192,Calcaire,Sousse,78020
49252,Calcaire,Monastir,40752
35516,Calcaire,Mahdia,143046
24579,Alluvieux,Beja,93814
46384,Argileux,Gabes,53991
14411,Alluvieux,Monastir,55601
28767,Calcaire,Mahdia,123355
47108,Argileux,Nabeul,125611
23281,Calcaire,Sousse,25801
20008,Calcaire,Sousse,110174
38289,Calcaire,Beja,133573
24688,Argileux,Beja,166921
42937,Alluvieux,Tunis,80956
18303,Argileux,Nabeul,140122
40986,Alluvieux,Sfax,193007
40865,Argileux,Bizerte,99420
21732,Argileux,Beja,183247
7512,Argileux,Monastir,162665
8456,Alluvieux,Sousse,73432
41948,Alluvieux,Tunis,165905
40363,Alluvieux,Beja,23139
43116,Calcaire,Sousse,157259
39752,Argileux,Bizerte,26068
9786,Calcaire,Bizerte,44267
40326,Alluvieux,Sfax,180089
37786,Calcaire,Kairouan,109624
12174,Alluvieux,Mahdia,162083
18579,Argileux,Sousse,149698
16692,Calcaire,Sousse,50349
37999,Calcaire,Monastir,91641
21123,Alluvieux,Bizerte,180065
30674,Calcaire,Tunis,25928
16464,Calcaire,Gabes,148736
42875,Alluvieux,Sfax,84722
47656,Calcaire,Mahdia,33077
48153,Alluvieux,Tunis,65270
5290,Calcaire,Sousse,138388
39401,Alluvieux,Mahdia,54946
47622,Alluvieux,Kairouan,98852
36002,Alluvieux,Sfax,93698
7795,Alluvieux,Monastir,25180
13100,Argileux,Bizerte,197433
26695,Calcaire,Beja,89771
13977,Alluvieux,Tunis,142420
18744,Calcaire,Kairouan,144069
39003,Alluvieux,Beja,59325
20449,Argileux,Nabeul,193239
22503,Argileux,Mahdia,112555
42924,Calcaire,Gabes,134209
25095,Argileux,Kairouan,45128
16074,Argileux,Sfax,96656
14806,Argileux,Gabes,144687
15544,Calcaire,Tunis,180955
47069,Alluvieux,Gabes,50665
36400,Calcaire,Tunis,170444
29229,Argileux,Beja,192732
